timestamp,open,high,low,close,volume
2020-11-13,216.3600,217.4200,214.1600,216.5100,18630307
2020-11-12,217.2100,219.1100,214.4600,215.4400,21616115
2020-11-11,212.3900,218.0400,212.2000,216.5500,29440788
2020-11-10,214.5000,216.5000,209.7200,211.0100,44045120
2020-11-09,224.4350,228.1200,217.8800,218.3900,44394950
2020-11-06,222.2600,224.3600,218.0300,223.7200,25231895
2020-11-05,222.0400,224.1200,221.1500,223.2900,36080137
2020-11-04,214.0200,218.3200,212.4185,216.3900,42311777
2020-11-03,203.8900,208.1200,203.1200,206.4300,27512030
2020-11-02,204.2900,205.2800,200.1200,202.3300,30842163
2020-10-30,203.5000,204.2900,199.6200,202.4700,36980111
2020-10-29,204.0700,207.3600,203.3700,204.7200,31432563
2020-10-28,207.6700,208.8400,202.1000,202.6800,51195593
2020-10-27,211.5900,214.6700,210.3290,213.2500,36700325
2020-10-26,213.8500,216.3399,208.1000,210.0800,37111561
2020-10-23,215.0300,216.2800,213.1600,216.2300,18879608
2020-10-22,213.9300,216.0550,211.7000,214.8900,22351450
2020-10-21,213.1200,216.9200,213.1200,214.8000,22724906
2020-10-20,215.8000,217.3700,213.0901,214.6500,22753511
2020-10-19,220.4150,222.3000,213.7200,214.2200,27625841
2020-10-16,220.1500,222.2900,219.3200,219.6600,26057882
2020-10-15,217.1000,220.3600,216.0100,219.6600,22733064
2020-10-14,223.0000,224.2200,219.1300,220.8600,23451713
2020-10-13,222.7200,225.2100,220.4300,222.8600,28950843
2020-10-12,218.7900,223.8600,216.8100,221.4000,40461368
2020-10-09,211.2300,215.8600,211.2300,215.8100,26458047
2020-10-08,210.5100,211.1900,208.3200,210.5800,19925837
2020-10-07,207.0600,210.1100,206.7200,209.8300,25681054
2020-10-06,208.8200,210.1800,204.8200,205.9100,28554261
2020-10-05,207.2200,210.4100,206.9800,210.3800,21331561
2020-10-02,208.0000,210.9900,205.5400,206.1900,33154781
2020-10-01,213.4900,213.9900,211.3200,212.4600,27158418
2020-09-30,207.7300,211.9800,206.5400,210.3300,33829088
2020-09-29,209.3500,210.0700,206.8100,207.2600,24464472
2020-09-28,210.8800,212.5700,208.0600,209.4400,32004936
2020-09-25,203.5500,209.0400,202.5400,207.8200,29437312
2020-09-24,199.8500,205.5700,199.2000,203.1900,31202493
2020-09-23,207.9000,208.1000,200.0300,200.5900,30803780
2020-09-22,205.0600,208.1000,202.0750,207.4200,33517065
2020-09-21,197.1900,202.7100,196.3800,202.5400,39839657
2020-09-18,202.8000,203.6500,196.2500,200.3900,55225326
2020-09-17,200.0500,204.3300,199.9600,202.9100,34011257
2020-09-16,210.6200,210.6500,204.6400,205.0500,26372464
2020-09-15,208.4200,209.7800,206.9300,208.7800,21823942
2020-09-14,204.2400,209.2000,204.0300,205.4100,30375768
2020-09-11,207.2000,208.6300,201.2400,204.0300,33620073
2020-09-10,213.4000,214.7400,204.1100,205.3700,35461514
2020-09-09,207.6000,214.8399,206.7000,211.2900,45678986
2020-09-08,206.5000,210.0300,202.2000,202.6600,52924330
2020-09-04,215.1000,218.3599,205.1900,214.2500,59664072
2020-09-03,229.2700,229.3100,214.9602,217.3000,58400288
2020-09-02,227.9700,232.8600,227.3500,231.6500,34080839
2020-09-01,225.5100,227.4500,224.4300,227.2700,25791235
2020-08-31,227.0000,228.7000,224.3100,225.5300,28774156
2020-08-28,228.1800,230.6440,226.5800,228.9100,26292896
2020-08-27,222.8900,231.1500,219.4000,226.5800,57602195
2020-08-26,217.8800,222.0900,217.3600,221.1500,39600828
2020-08-25,213.1000,216.6100,213.1000,216.4700,23043696
2020-08-24,214.7900,215.5200,212.4300,213.6900,25460147
2020-08-21,213.8600,216.2500,212.8500,213.0200,36249319
2020-08-20,209.5400,215.0000,208.9100,214.5800,26981478
2020-08-19,211.4900,212.1000,209.2500,209.7000,27627561
2020-08-18,210.5300,212.3600,209.2100,211.4900,21336167
2020-08-17,209.6000,211.1874,208.9150,210.2800,20063496
2020-08-14,208.7600,209.5900,207.5100,208.9000,17958936
2020-08-13,209.4400,211.3500,208.1500,208.7000,22588870
2020-08-12,205.2900,210.2800,204.7500,209.1900,28041364
2020-08-11,207.1550,207.6500,203.1400,203.3800,36446459
2020-08-10,211.6700,211.8800,206.3500,208.2500,36716462
